RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
1437 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1438 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1439 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1440 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1441 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1442 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1443 Tribal "Fairly bad" Never "You decided not to vote" "Decreased somewhat" "Some secondary school / high school" 
1444 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1445 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1446 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Primary school completed" 
1447 Tribal "Fairly Good" Occasionally "You voted in the elections" "Don't know" "Secondary school / high school completed" 
1448 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1449 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1450 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1451 Urban "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1452 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1453 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1454 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Some university" 
1455 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1456 Urban "Very bad" Frequently "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1457 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
1458 Urban "Fairly Good" Frequently "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1459 Tribal "Fairly bad" Occasionally "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
1460 Tribal "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Some primary schooling" 
1461 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1462 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1463 Urban "Very bad" Occasionally "Did not vote for some other reason" "Decreased somewhat" "Some secondary school / high school" 
1464 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1465 Urban "Very bad" Frequently "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
1466 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
1467 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
1468 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some primary schooling" 
1469 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1470 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1471 Urban "Very good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1472 Urban "Very bad" Frequently "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
1473 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1474 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1475 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
1476 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1477 "Rural farm" "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some primary schooling" 
1478 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1479 Tribal "Fairly Good" Never "You could not find the polling station" "Don't know" "Secondary school / high school completed" 
1480 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1481 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1482 Tribal "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
1483 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1484 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Primary school completed" 
1485 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1486 Tribal "Fairly bad" Never "Did not vote for some other reason" "Don't know" "Some secondary school / high school" 
1487 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1488 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1489 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1490 Tribal "Neither good nor bad" Frequently "You decided not to vote" "Stayed the same" "Some primary schooling" 
1491 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1492 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1493 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1494 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1495 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Primary school completed" 
1496 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1497 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1498 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1499 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1500 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1501 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1502 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1503 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "No formal schooling" 
1504 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1505 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
1506 Tribal "Fairly bad" Occasionally "You were too young to vote" "Increased somewhat" "Some secondary school / high school" 
1507 Urban "Neither good nor bad" Frequently "You were too young to vote" "Increased a lot" "Some university" 
1508 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1509 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1510 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1511 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
1512 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some university" 
